"Building","Date.of.Session","Name.of.Session","X..of.Hours","Possible.Hours","staff_id"
"ESC",2016-03-01,"Google Sheets Training",2,2,"bfe7956b6eb40229d85f13acc1b0d07c7fe3add3f182322e112263573cd5a2b0"
"Endeavour",2015-09-24,"Google Drive Intro",2,2,"8d6c18737761a51b302f70ae287da547cfcca67ad9c590a3712b0216c42a5c76"
"Endeavour",2015-10-05,"Open Lab Training",1.5,3,"8d6c18737761a51b302f70ae287da547cfcca67ad9c590a3712b0216c42a5c76"
"Hedden",2015-11-23,"ChromeBook Training",1.5,1,"8d6c18737761a51b302f70ae287da547cfcca67ad9c590a3712b0216c42a5c76"
"Hedden",2016-02-17,"Google Sheets Training",1,2,"8d6c18737761a51b302f70ae287da547cfcca67ad9c590a3712b0216c42a5c76"
"Hedden",2016-03-10,"Google Classroom",1,2,"8d6c18737761a51b302f70ae287da547cfcca67ad9c590a3712b0216c42a5c76"
"Discovery",2015-08-17,"Google Email Training",2,4,"90ebaa74bd0f6ce7db8219ab7f6da74156e370127c1db8c2be2fdece9d838307"
"Discovery",2015-08-24,"Skyward Training",2,4,"90ebaa74bd0f6ce7db8219ab7f6da74156e370127c1db8c2be2fdece9d838307"
"Discovery",2015-10-01,"Google Site Training",2,2,"90ebaa74bd0f6ce7db8219ab7f6da74156e370127c1db8c2be2fdece9d838307"
"Discovery",2015-11-17,"ChromeBook Training",1,1,"90ebaa74bd0f6ce7db8219ab7f6da74156e370127c1db8c2be2fdece9d838307"
"Discovery",2016-02-18,"Google Sheets Training",2,2,"90ebaa74bd0f6ce7db8219ab7f6da74156e370127c1db8c2be2fdece9d838307"
"FHS",2016-02-18,"Google Sheets Training",2,2,"9138d1c3f8f0977f88e764dc07f423eb6f0af640eb70df9ee25a8081dda00fdd"
"CJH",2016-02-18,"Google Sheets Training",2,2,"b872dfbf51cce659b3d1ee70bb47fbd435d03e8036fa2b452c7b70a459a48576"
"SLMS",2016-03-22,"Open Lab Training",2,3,"93fef34e89b0b8e5396c611b6b1bee4abfa1c1b50c8f72dfd6413bf3ea5d0b36"
"Endeavour",2015-08-17,"Google Email Training",2,4,"ca021aeee788c1543bb398c104e20687eeb21014430446d76eb578b923092b0b"
"Endeavour",2015-09-01,"Tech/day open lab",3,10,"ca021aeee788c1543bb398c104e20687eeb21014430446d76eb578b923092b0b"
"FHS",2015-08-24,"Skyward Training",2,4,"25047d7a8c2567711fe86fe16c69a45c8e6c11a3e58d5fe9cd2009424ffe2341"
"FHS",2015-09-01,"Tech/day open lab",2,10,"25047d7a8c2567711fe86fe16c69a45c8e6c11a3e58d5fe9cd2009424ffe2341"
"Discovery",2015-09-15,"Tech/day open lab",1,3,"91c84522ae80177a87e8682868fafb8f2e38b16b1155b796765fd2857161ae39"
"Discovery",2015-09-24,"Google Drive Intro",2,2,"91c84522ae80177a87e8682868fafb8f2e38b16b1155b796765fd2857161ae39"
"Discovery",2016-02-17,"Google Sheets Training",2,2,"91c84522ae80177a87e8682868fafb8f2e38b16b1155b796765fd2857161ae39"
"SLMS",2015-08-26,"SLMS Skyward Class (J. Garrett)",4,8,"81fcee5576645a846d6084557edfc687cdbd0424f8dec288e979e20a12687545"
"Endeavour",2016-02-17,"Google Sheets Training",2,2,"f9262d39b646285884576c59544485740c86782fb23fe519f077574d2565d60d"
"FHS",2016-02-18,"Google Sheets Training",2,2,"deb4cb2f5e729bc99e5b743ccefb8ef3a3112d2a2a363e4141b3c54f6b3d172a"
"CJH",2015-10-01,"Google Site Training",2,2,"ce9e9ecd2052feda1fb9d84a752ef70ccde62a5544c459a54bc0d2a4589e8ae7"
"Discovery",2016-03-01,"Google Sheets Training",2,2,"427fa6b9d4e75615b2e1cf6f87dd7d94341a0e6cb04c69764abf14c4aa1ce7f5"
"CJH",2015-10-01,"Google Site Training",2,2,"4e093f305894efb8533449d33f18b0a4b417be420c1e36729e209a42d183e94d"
"Hedden",2016-02-17,"Google Sheets Training",1,2,"439fb87c5f61cf67213c72234a299672c3d2862fa34d2329434e02843744ce72"
"Endeavour",2015-09-24,"Google Drive Intro",1,2,"9fbdbff2ed89a7696c230d2247dce7cd5efa488760ae1a15dfb1d8079c3dd83a"
"SLMS",2015-08-26,"SLMS Skyward Class (J. Garrett)",4,8,"28ef7a81f9581487578d7eadbdc3e6b7b36c28fabc433a54e1ed2ef80582ca12"
"SLMS",2016-03-15,"Google Classroom",2,2,"28ef7a81f9581487578d7eadbdc3e6b7b36c28fabc433a54e1ed2ef80582ca12"
"FHS",2015-08-24,"Skyward Training",2,4,"95c0d4971c06c3055270cdd819032422b6cc616012b012cc4ff52ec85fecbf3e"
"FHS",2016-02-18,"Google Sheets Training",2,2,"f22cabdfe73bd32f2c9abce089108fc826f17ab6985938000ac6d202f19404a2"
"Hedden",2016-03-10,"Google Classroom",2,2,"41fab0d284c5dd6281f37a9593990a9b67140bc6d9feb3b2d91d0039d361bc7e"
"Discovery",2016-02-18,"Google Sheets Training",2,2,"540a005e5f33202821548a415f8c83afb0ed820df896ce88646d02a3fc6b128f"
"Discovery",2016-03-01,"Google Sheets Training",1,2,"540a005e5f33202821548a415f8c83afb0ed820df896ce88646d02a3fc6b128f"
"Discovery",2015-11-17,"ChromeBook Training",1,1,"f79e546aa2a28910f911fd64ab073360fc63a3d9145d34eba9009c20a3e2c556"
"Discovery",2016-03-01,"Google Sheets Training",2,2,"f79e546aa2a28910f911fd64ab073360fc63a3d9145d34eba9009c20a3e2c556"
"Discovery",2016-03-10,"Google Classroom",2,2,"f79e546aa2a28910f911fd64ab073360fc63a3d9145d34eba9009c20a3e2c556"
"CJH",2015-10-01,"Google Site Training",2,2,"c30a0acce9d41c37a879f626c53e30f3870ec670641250b298442d5ab323ee68"
